time,Region1Beijing_onshore_wind,Region2Tianjin_onshore_wind,Region3Hebei_onshore_wind,Region4Shanxi_onshore_wind,Region5Innermongolia_onshore_wind,Region6Liaoning_onshore_wind,Region7Jilin_onshore_wind,Region8Heilongjiang_onshore_wind,Region9Shanghai_onshore_wind,Region10Jiangsu_onshore_wind,Region11Zhejiang_onshore_wind,Region12Anhui_onshore_wind,Region13Fujian_onshore_wind,Region14Jiangxi_onshore_wind,Region15Shandong_onshore_wind,Region16Henan_onshore_wind,Region17Hubei_onshore_wind,Region18Hunan_onshore_wind,Region19Guangdong_onshore_wind,Region20Guangxi_onshore_wind,Region21Hainan_onshore_wind,Region22Chongqing_onshore_wind,Region23Sichuan_onshore_wind,Region24Guizhou_onshore_wind,Region25Yunnan_onshore_wind,Region26Tibet_onshore_wind,Region27Shaanxi_onshore_wind,Region28Gansu_onshore_wind,Region29Qinghai_onshore_wind,Region30Ningxia_onshore_wind,Region31Xinjiang_onshore_wind,Region1Beijing_offshore_wind,Region2Tianjin_offshore_wind,Region3Hebei_offshore_wind,Region4Shanxi_offshore_wind,Region5Innermongolia_offshore_wind,Region6Liaoning_offshore_wind,Region7Jilin_offshore_wind,Region8Heilongjiang_offshore_wind,Region9Shanghai_offshore_wind,Region10Jiangsu_offshore_wind,Region11Zhejiang_offshore_wind,Region12Anhui_offshore_wind,Region13Fujian_offshore_wind,Region14Jiangxi_offshore_wind,Region15Shandong_offshore_wind,Region16Henan_offshore_wind,Region17Hubei_offshore_wind,Region18Hunan_offshore_wind,Region19Guangdong_offshore_wind,Region20Guangxi_offshore_wind,Region21Hainan_offshore_wind,Region22Chongqing_offshore_wind,Region23Sichuan_offshore_wind,Region24Guizhou_offshore_wind,Region25Yunnan_offshore_wind,Region26Tibet_offshore_wind,Region27Shaanxi_offshore_wind,Region28Gansu_offshore_wind,Region29Qinghai_offshore_wind,Region30Ningxia_offshore_wind,Region31Xinjiang_offshore_wind,Region1Beijing_utility_scale_solar_pv,Region2Tianjin_utility_scale_solar_pv,Region3Hebei_utility_scale_solar_pv,Region4Shanxi_utility_scale_solar_pv,Region5Innermongolia_utility_scale_solar_pv,Region6Liaoning_utility_scale_solar_pv,Region7Jilin_utility_scale_solar_pv,Region8Heilongjiang_utility_scale_solar_pv,Region9Shanghai_utility_scale_solar_pv,Region10Jiangsu_utility_scale_solar_pv,Region11Zhejiang_utility_scale_solar_pv,Region12Anhui_utility_scale_solar_pv,Region13Fujian_utility_scale_solar_pv,Region14Jiangxi_utility_scale_solar_pv,Region15Shandong_utility_scale_solar_pv,Region16Henan_utility_scale_solar_pv,Region17Hubei_utility_scale_solar_pv,Region18Hunan_utility_scale_solar_pv,Region19Guangdong_utility_scale_solar_pv,Region20Guangxi_utility_scale_solar_pv,Region21Hainan_utility_scale_solar_pv,Region22Chongqing_utility_scale_solar_pv,Region23Sichuan_utility_scale_solar_pv,Region24Guizhou_utility_scale_solar_pv,Region25Yunnan_utility_scale_solar_pv,Region26Tibet_utility_scale_solar_pv,Region27Shaanxi_utility_scale_solar_pv,Region28Gansu_utility_scale_solar_pv,Region29Qinghai_utility_scale_solar_pv,Region30Ningxia_utility_scale_solar_pv,Region31Xinjiang_utility_scale_solar_pv,Region1Beijing_distributed_solar_pv,Region2Tianjin_distributed_solar_pv,Region3Hebei_distributed_solar_pv,Region4Shanxi_distributed_solar_pv,Region5Innermongolia_distributed_solar_pv,Region6Liaoning_distributed_solar_pv,Region7Jilin_distributed_solar_pv,Region8Heilongjiang_distributed_solar_pv,Region9Shanghai_distributed_solar_pv,Region10Jiangsu_distributed_solar_pv,Region11Zhejiang_distributed_solar_pv,Region12Anhui_distributed_solar_pv,Region13Fujian_distributed_solar_pv,Region14Jiangxi_distributed_solar_pv,Region15Shandong_distributed_solar_pv,Region16Henan_distributed_solar_pv,Region17Hubei_distributed_solar_pv,Region18Hunan_distributed_solar_pv,Region19Guangdong_distributed_solar_pv,Region20Guangxi_distributed_solar_pv,Region21Hainan_distributed_solar_pv,Region22Chongqing_distributed_solar_pv,Region23Sichuan_distributed_solar_pv,Region24Guizhou_distributed_solar_pv,Region25Yunnan_distributed_solar_pv,Region26Tibet_distributed_solar_pv,Region27Shaanxi_distributed_solar_pv,Region28Gansu_distributed_solar_pv,Region29Qinghai_distributed_solar_pv,Region30Ningxia_distributed_solar_pv,Region31Xinjiang_distributed_solar_pv
1,41.75051166274102,40.65031749451941,42.80883621076015,43.9561898346188,50.64947640568107,42.34471068632217,48.050095969365714,46.18226972226935,37.02129549211608,38.467977394454955,40.24013924263947,39.37421212753556,48.93276552931525,50.35243822409541,41.99617206528217,41.79045028213757,43.82977385847187,47.621535840526974,44.835864265479586,56.24013791161531,49.2636727825726,43.85040244762073,46.709847432108376,56.237833414158445,54.11839078354319,40.851187069534724,50.16395434734022,51.19082753577686,49.930971672293545,48.087278690125856,71.85594562008646,0.0,34.506638398296374,25.410069675011137,0.0,0.0,25.28092919636829,0.0,0.0,23.788213869746986,38.60619576962421,40.49507385037998,0.0,49.38959726372616,0.0,39.70013989954357,0.0,0.0,0.0,44.42400532913826,35.14016932359051,8.405962477707627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,42.66509293186438,41.63265021882978,43.72297929155167,45.069736566800245,52.73177187430633,44.96912138831988,49.690300420124345,47.021538688237996,38.254618063579656,39.455899587201415,42.55664317105712,40.40210360097252,53.1016657298089,54.691058082767086,42.87301205715721,42.87211508074407,45.58741964023416,49.84304232484682,47.47089475036148,58.59873464223142,54.54926515781722,45.24896822496605,46.78668661989249,57.12607428165484,54.21502263342148,39.26069642975244,52.75580021620385,53.53290609298256,52.12598438238647,50.37448472844375,70.2383234493027,0.0,35.12602290521979,27.746854282349105,0.0,0.0,22.93552652976328,0.0,0.0,29.399422711620048,39.62700363666016,42.85027735813429,0.0,53.62413747657513,0.0,40.96885224741686,0.0,0.0,0.0,46.99109574638172,35.42076011731511,12.961576570254467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,45.58142220950856,44.56979628238011,46.71231218628691,48.156544036023874,60.40600737853197,49.08170970972847,53.35132123973452,50.075897335963404,38.864715421881634,39.88871205313771,44.53155818071597,40.24414697193812,57.707376992725656,60.19005127079424,45.81751914795973,46.06033205589721,47.49782056117225,53.474652823997104,48.82889299946669,60.022611273410575,65.3574023157546,46.565323492589236,46.846751594401326,58.03020030158734,54.275234719831644,35.65659129908039,56.39714350654401,57.2755684860482,55.55749300762702,54.747280433240064,69.0097542717183,0.0,37.03588832344834,30.361012213057744,0.0,0.0,26.13854245017689,0.0,0.0,33.45991597029846,40.06674703535218,44.863010918732016,0.0,58.263807361242925,0.0,43.752310509003856,0.0,0.0,0.0,48.284750891069095,34.74363828010546,19.385822873711845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,48.998797359166346,48.2551203802597,50.23183248069074,51.446526739050924,66.61590022636688,54.41170836999021,56.99653919294079,53.682743352421625,40.33425525584644,41.748657797265665,50.29004188082098,42.11476924886082,62.91959834703498,65.0999231596785,49.18581521256726,48.61959099302826,47.89054429141104,55.06787376508626,49.61465303335899,60.92621095042716,74.47754970498366,47.452025386327094,46.88457022709258,58.78050917128519,54.29945900030475,0.0,58.02782820704522,58.92219709261326,57.057610780888446,56.11328077916511,69.76175217084801,0.0,39.22820834830973,32.51162651961256,0.0,0.0,30.605625601399858,0.0,0.0,36.05624778476702,41.852763436121876,50.66189162216972,0.0,63.43767509049769,0.0,47.00853887107481,0.0,0.0,0.0,49.09217569818125,36.14702621869235,24.149844831886647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,51.638359646890564,51.236231383535724,53.003943636440454,54.06514942653118,66.93035278024695,56.78252842270126,58.820022432538366,56.294235312567054,40.55664553839134,42.52465038107722,55.233767110442145,42.9438181545736,63.05112174328542,65.37359999151704,51.749592336236105,50.17326595937455,47.787242390440966,57.19718763808146,50.62218101065952,61.814703712869346,77.31287383275642,48.15681632186308,46.92788833024508,59.02257520675391,54.31296862999346,0.0,60.87828330575462,61.43393898153704,59.13188400678004,59.41723301411628,70.07409944762344,0.0,40.92303879718362,34.7543506092116,0.0,0.0,35.314428220737604,0.0,0.0,36.507010777139,42.53679404412125,55.645994312087055,0.0,63.57200239816052,0.0,49.684844926874085,0.0,0.0,0.0,50.25279669663174,42.13816134690873,24.89180591663527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,53.21020236055851,52.91342155660317,54.63548224727788,55.69536012349019,66.9047610895177,57.51326027543868,59.318518250758956,57.4164761753746,40.029381473603245,42.13851389943102,58.67579595184402,34.7550190199801,61.561730455668595,63.582492136035285,53.16179310922564,51.43205059519396,47.811803773049945,58.81551902828619,50.76240501347229,65.71764037916239,78.74568954610339,49.16257838120097,46.93400153196592,60.99666929557657,54.29537193326439,3.9204986790052043,63.592988483861745,63.323477578236975,60.0532356050727,61.767033027102514,67.9163848627411,0.0,41.850851064424404,36.54421243302683,0.0,0.0,36.388432195110354,0.0,0.0,36.18793466185235,42.09695845192485,59.11895989387972,0.0,62.08729352098885,0.0,51.04627233265169,0.0,0.0,0.0,50.540753916314074,49.748826731661616,24.309649557425097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,51.2885533331211,50.90889017307809,52.72598604985035,53.8390728785636,66.55574494226357,58.0661788013046,58.82381395034386,55.63196301966755,38.11505086472644,39.67311414087504,56.15121787933042,40.068130081798884,58.08668653762972,60.023098457975266,51.32792802308472,50.551577817171456,45.055292583467576,57.52257992621779,50.5983236291101,106.86050220763832,76.01327519318701,48.17135282777796,46.89575109861721,60.364953310866554,54.2058482503478,29.220797409848732,62.57540222813418,62.52678924568045,59.336093074815025,59.783521076816726,64.14385871363493,0.0,39.78286653869148,34.19771837729073,0.0,0.0,36.81866671279377,0.0,0.0,33.50983215295156,39.61873182433706,56.57490070774429,0.0,58.505951572584536,0.0,48.7047403486488,0.0,0.0,0.0,50.41180582258065,70.30465870102189,20.24017171749081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,53.872276258738694,53.375270055551205,55.47026329709581,56.42119986080729,67.12577774811734,64.6940302677379,64.08534039483982,58.416679527679705,37.64131910985458,39.016515604039625,54.137062382441314,39.853993642546826,56.80475663163875,57.72441370469039,54.42146937674863,52.79423662894711,43.92722091886492,55.771329295822625,49.919220589337954,6120.525820714321,74.83465404764189,47.75692103600804,46.880875166497304,57.20377377187447,54.14211555378756,38.56992051148023,64.80640029674589,65.97308977819694,59.569838880368934,58.27187428568337,65.33207953484066,0.0,37.61731806633117,30.609073830336854,0.0,0.0,39.69579819563056,0.0,0.0,31.810991622217927,38.991811532267384,54.56648203906411,0.0,57.08161466321826,0.0,51.02430853123563,0.0,0.0,0.0,49.763040297451155,136.12107390231907,17.09083912552375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,58.66153378345018,57.978298413658536,60.43672462688221,61.50575723241225,74.49431969939724,73.66741591270198,72.49205492430022,63.73747040276356,37.90181694743755,39.64171390771298,52.802219505815984,40.82271518247893,56.73894191470907,56.63456363544839,59.26403251606871,56.30595537306604,43.1662778187829,53.99279886025443,50.067618552230186,17886.93256094004,74.92481778852778,47.336714168924544,46.85867509497399,55.56018897071624,54.11062142948708,40.16782980021921,69.65194957450649,72.5112398595229,59.95775070822029,60.0870981482764,69.29660144990635,0.0,35.67312479917971,28.150961312817703,0.0,0.0,42.99061568493663,0.0,0.0,31.21668985173126,39.64078849039154,53.23691841546463,0.0,56.97240630058076,0.0,54.91150161037661,0.0,0.0,0.0,49.93145605079441,136.2040141904284,15.642068633826677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.52736884879661,30.8739789550386,8.996413914079904,3.0617767258746826,67.60116125708771,58.2119700076934,50.2704616430813,42.21583952227906,39.8789024216355,39.06869815181757,48.310014710584824,40.1024382430264,42.24627723768387,53.34754091316651,56.299298879997295,15.331981500033915,48.73701327605817,42.88523934231597,49.88673471573435,214.62822386307798,55.46781249342972,0.0,0.0,21.14809174390373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2415949900859813,20.037543670577293,8.89992563488861,0.0,0.0,63.60095899572582,0.0,0.0,35.03011008567711,39.03928715586513,51.619458755050914,39.497816962867695,53.338104115115414,51.99757054450582,55.309805527028246,27.575312357162282,47.1661442603627,50.06503575904742,48.27688103095773,4.769043835552272,36.3401435400479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,128.8253604367604,125.43491511621508,134.9604704366385,137.05415624895423,682.0333457772563,737.7497096033494,587.5796400440051,134.78450266103437,38.92157226003107,42.49648290118291,52.22552284352133,44.819493447427305,56.24435404801531,55.028059044971656,132.86117795564678,58.74797851697977,38.85318770847232,52.34508333677024,48.87812545404202,27404.228953959773,73.3183084830884,43.71851343296007,46.837513892427296,54.715005378497494,54.09703614606798,41.543480733041264,150.01731625442005,14649.064592234537,61.74802645744304,60.22848201712705,69.66039356851184,0.0,25.638458640559776,20.784704898816845,0.0,0.0,73.23873053118224,0.0,0.0,29.790936001850373,42.588345214674916,52.69086896522879,0.0,56.40419306269706,0.0,109.96473735473134,0.0,0.0,0.0,48.81552935278499,135.07692817656326,12.7399045326423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.6080102512983,113.81334035486456,132.6328731576982,134.19467494315552,636.9027379857215,512.8868209226347,282.5434596557064,117.55668286390141,41.82563407625439,42.647220264809604,50.96210161243619,44.56872176853999,49.33401909598623,53.54148467523068,130.16807743814064,55.608650969942495,50.46688432076918,49.41496777914944,48.95970433068442,827.8886242261301,66.59244833180755,32.68691168334731,43.218921231973574,52.52704374470141,53.41465685130764,43.1263972950906,141.05162758436452,837.3196178408599,57.88633754747552,58.20316705813377,0.0,66.16527536637834,101.81421850968158,130.69808784315651,0.0,0.0,509.94944230342634,0.0,0.0,38.722033617768936,42.57755015478537,52.01669055380531,44.32898090092729,54.46281049953239,52.90815596665044,130.45207976564654,58.01796250958002,49.832746837253914,51.38765484027164,48.32740722470863,224.27296084804618,57.00144911554242,38.70354113543184,0.0,18.131968576411474,42.71611979742537,4.244469626264457,0.0,0.0,0.0,0.0,0.0
11,136.18913875859917,131.86805235496024,143.096736068685,144.9306141155322,1564.9373411114311,2194.310473733836,1191.0858873615098,118.56954849897593,39.034525754908344,42.70801383021183,53.28622698802121,48.35302048564749,56.65548600457626,54.966719500367134,136.31757973203662,60.18186650760882,5.656266857551062,51.95939021046048,49.36209889724985,24603.229830958342,74.38804104315722,42.16859296272207,46.85518573051439,55.88863772054253,54.2058422363354,43.544780774977085,152.60765522162956,27874.918573999283,64.01748605992141,60.314051427166504,68.98022651137126,0.0,2.2549073135555817,11.113420244488529,0.0,0.0,83.53244310011233,0.0,0.0,27.46929456833945,43.12191290337708,53.75515256980634,0.0,56.81628385181625,0.0,111.92164394677928,0.0,0.0,0.0,49.422585435644706,127.63338387803813,10.401042715198678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0047098466498,126.44337978360065,141.87653690346735,144.18701919546527,1503.8152623315852,1147.9296085431815,468.44431798654915,111.97656748352026,42.72336286073486,43.245769655992916,52.55371184468505,48.30715619958781,52.58630839158518,54.04704573579488,134.7620881521383,58.78018971332466,50.77606555857628,50.18110671434539,49.636242622881355,1151.5966828041883,70.49030543222723,42.544548735831796,45.80577080703829,54.81783841781906,54.01359521514415,48.18428877971748,149.25514440360743,7490.59241326206,65.04242350040812,59.8757664980063,0.0,94.08084855435223,119.18092048249707,140.76340928342114,0.0,0.0,1053.0022147237637,0.0,0.0,41.45040844134651,43.18214670108311,53.271089362290525,48.07169523795363,55.52077321603477,53.572381093771156,134.8533600474262,59.99175860692674,50.20365539686722,51.602075714221925,49.165805009480756,523.115647018986,65.99325760890306,45.50268539612629,0.0,32.36383202428834,48.91722022951461,27.528458517523585,0.0,0.0,0.0,0.0,0.0
12,124.51380631542897,123.01684000965452,131.42830330322397,134.20865415294082,918.4765749989765,1164.2518408016258,785.4695352742453,126.78425035889163,39.23131985967676,42.79277345156185,54.60524934955657,50.96050784077022,58.00569310951076,56.33734716104399,119.45758375304649,58.95631524431799,0.0,52.15650579244091,49.21256691574971,5897.758987402696,71.25285568697493,39.86498068298461,46.830449226092696,54.2906422651086,54.15172541653135,42.99786450454318,140.92978823258306,21386.134287033456,70.4303798019592,62.87682814809514,72.89739051370248,0.0,0.0,9.827364985450386,0.0,0.0,113.00809153341466,0.0,0.0,24.901381579201825,43.01160367631862,55.12411503799797,0.0,58.19041768238975,0.0,104.61353593738387,0.0,0.0,0.0,49.451897724935634,115.20460723348788,8.616425571598565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.67646974999435,118.94024944844529,130.67461910313938,133.98180857337394,913.7229315299962,870.029300810148,476.850240545452,119.0528066119887,42.54794767834902,43.23302548534613,54.09052335198439,50.86357714631262,54.83331600188435,55.634046286947125,118.6026104997353,58.00411765085922,51.55624361438527,50.70674363908134,49.71801149291366,1531.5831380926675,68.55608334711062,44.94511865931972,46.299508777561726,53.66284191834758,54.149090327086924,53.009540924417564,139.18247479802125,15048.993750868714,72.07019198380848,62.757145522480684,71.10260992993301,96.95323810972644,114.01753831340922,129.96927010177117,0.0,0.0,817.6410783915001,0.0,0.0,41.524050002512915,43.18153020704685,54.69967832785194,50.657186979113256,57.21719891458932,55.14830764031542,118.64734951413425,58.86867913479321,50.97243899381753,51.953116723954636,49.319383643628534,761.7020317748932,65.41234712085952,46.97092207833231,0.0,38.92156819425038,50.77328637859735,38.60057632260713,0.0,0.0,0.0,0.0,0.0
13,124.9428712422489,126.16808863769258,134.4007132548768,136.7262481125113,625.2828447305774,664.1075069284312,555.6982917218179,138.96732446297833,39.03630035106698,43.125438177562536,52.78831758787472,52.229662038918434,56.91035106608666,54.86091878365684,122.39925758971992,57.302267300512355,0.0,51.967390790387924,49.21502732211014,197.3290051388119,63.68680305785546,35.16481444585014,46.850089247037374,54.028258236634485,54.054228850830555,48.21332651926191,143.45907946133707,43205.200605329796,668.6302224468639,64.22042023203645,767.4422435996178,0.0,0.0,10.594731405996328,0.0,0.0,136.1796302694206,0.0,0.0,20.407224935916457,43.215192435515526,53.30551063322275,0.0,57.10337428241985,0.0,108.17811642936259,0.0,0.0,0.0,49.964321934844236,77.37309296306869,6.171437760184607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.90991870500712,122.2300281797244,133.7217190786788,136.7162301796032,626.4607181685022,573.9335202194766,412.3770787586334,128.09586345562374,42.348498216274066,43.5504467039145,52.48195093165009,52.08409005353687,53.92916883447296,54.32687851168261,121.6044625281274,56.61216066470409,51.73177897644621,50.72971347276156,50.29149518959741,188.4358101067596,61.76541370130684,45.55446026115428,46.44650013628304,53.64117030878912,54.20975723147592,56.74147327403034,142.16330678588383,27202.92169882717,766.7268886524355,64.21542953667903,727.6050455158831,100.54579402426467,117.60147277158106,133.11734818074328,0.0,0.0,552.9237154742566,0.0,0.0,41.44687792330437,43.513508489812835,52.97159387150252,51.91337039938304,56.201607851181556,53.923118937787784,121.67738960726027,57.34288470861593,51.24910871940402,51.827289576179325,49.97281004053988,177.65980555473783,59.4443654604413,47.16451053801662,0.0,42.31378424822418,51.61029132687433,44.60906065218759,0.0,0.0,0.0,0.0,0.0
14,135.5174544631961,138.59458018852246,148.5919264043929,151.0003080639315,269.80427436276955,268.9905034589941,260.3687080755108,154.59887158498375,37.815808584227504,43.744302141625724,50.870153769913884,51.23020846369997,55.60096945874804,52.74233053346933,134.81433692588496,56.39098661371378,0.0,51.50958714771825,0.0,61.21215497134358,57.537797767185594,23.850468469203363,46.88200701712475,52.89779854313892,53.98972248481115,158.46303818342906,158.47275325513976,58214.462218548644,1311.2610686492276,72.47588982087905,1388.5951879334186,0.0,0.0,14.732731353664988,0.0,0.0,126.09219142553931,0.0,0.0,17.64761647269352,43.63266500887164,51.3488352199829,0.0,55.80805626476604,0.0,118.36550725732009,0.0,0.0,0.0,49.11411279133837,41.52767618356515,4.970843504462663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.41569519552542,133.78264826089347,147.8599535238665,151.11939392149054,270.36829898962367,253.67411077551606,231.66790274510186,136.20184052403195,42.40708038081209,44.06004661441898,50.616443830119536,51.07133160544919,52.57661654871859,52.3798810427083,133.8080861328983,55.778432450572346,50.68633466697925,50.37025699260167,49.49701065807233,60.35910595768623,56.00043920996889,45.136700899065076,46.522843833619376,52.645721536762835,54.19970613803571,328.4797802150905,157.11203146522834,33051.6907221591,1580.1482942755385,72.48274048208003,1319.2854467423629,107.5318207045447,128.2115367418113,147.14772631354833,0.0,0.0,249.86689157048048,0.0,0.0,41.50010107436009,44.03339533727646,51.10761707449818,50.899489801967235,54.95101815590164,52.00484117552673,133.9073143819114,56.44228693646447,50.26434086994147,51.33873751823881,49.16496814766802,59.40484445100136,54.24959969042264,46.59433284105996,0.0,43.00227611421173,51.834827490372824,118.3931403030814,0.0,0.0,0.0,0.0,0.0
15,118.89955047046818,121.36842033677375,128.01460458653935,130.17165361417327,147.35112722996746,140.06037533648197,144.54302377559713,129.72419247312672,32.84182206397365,42.93767392471537,51.40024788357955,51.461991344467606,56.167908740672345,52.704527346282504,118.3634853323241,59.25721090394376,0.0,51.84960693826568,0.0,57.17117454008758,53.67394205501519,0.0,46.837778143743236,50.62200778358772,53.98269699050573,399.77828150877167,136.43193576344004,77183.67183573698,1937.2082679341656,122.03271002702465,2477.9978887018788,0.0,0.0,17.941600922954212,0.0,0.0,95.23820134883188,0.0,0.0,13.604566160520084,42.648994860923665,51.856052917344186,0.0,56.38145179430154,0.0,106.96238451122397,0.0,0.0,0.0,47.21944370921438,37.33367871628197,3.525703185600112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.39231038756203,117.2493689282148,127.39856116349557,130.29935529564085,147.6754834923355,135.4670453258966,136.18157957913968,118.48754044435917,42.17376980794363,43.1284398920333,50.92790567175554,51.30798318352703,52.92966269921118,52.499311769770074,117.45692128378238,58.6120188068473,50.917285796876044,50.564484630548414,47.6346370849825,56.38455022410227,52.26532181913601,45.20111265850324,46.47556718686996,50.50002182444224,54.17627603356934,1796.827382185384,135.37698300794787,36454.212404706304,2546.9505134386595,121.93443656442327,2330.867674058268,95.79955160526066,112.57635845566627,126.82907345518579,0.0,0.0,134.0383428417722,0.0,0.0,41.064652145162306,43.09900568064329,51.586813587993774,51.11769209558936,55.54657429550858,52.28226383893109,117.53488870844464,59.32004259816459,50.48313095365175,51.574355974633775,47.31452412005943,55.57760374799248,50.491003787983544,46.70439908081037,0.0,42.0478142173929,51.79829973765537,158.45638333167872,0.0,0.0,0.0,0.0,0.0
